# This data is provided "as is".  Guidewire does not guarantee its correctness or completeness, nor do we plan to update it.
17400,St Pardoult
17400,St Pierre De Juillers
17400,Ternant
17400,Varaize
17400,Vervant
17400,Voissay
17400,Mazeray
17400,Courcelles
17400,Fontenet
17400,Poursay Garnaud
17400,St Denis Du Pin
17400,La Benate
17400,La Chapelle Baton
17400,La Vergne
17400,Les Eglises D Argenteuil
17400,Antezant La Chapelle
17400,Asnieres La Giraud
17400,Bignay
17410,St Martin De Re
17420,St Palais Sur Mer
17420,Courlay Sur Mer
17430,Tonnay Charente
17430,Moragne
17430,Muron
17430,Genouille
17430,St Coutant Le Grand
17430,St Hippolyte
17430,Lussant
17430,Bords
17430,Cabariot
17430,Champdolent
17440,Aytre
17450,St Laurent De La Pree
17450,Fouras
17460,Tesson
17460,Thenac
17460,Varzay
17460,Preguillac
17460,Retaud
17460,Rioux
17460,La Jard
17460,Berneuil
17460,Chermignac
17460,Colombiers
17470,St Mande Sur Bredoire
17470,Villemorin
17470,Nuaille Sur Boutonne
17470,Contre
17470,Dampierre Sur Boutonne
17470,Paille
17470,Salles Les Aulnay
17470,St Georges De Longuepierr
17470,La Villedieu
17470,Loire Sur Nie
17470,Aulnay
17470,Blanzay Sur Boutonne
17470,Cherbonnieres
17480,Ors
17480,La Chevalerie
17480,La Gaconniere
17480,Le Chateau D Oleron
17490,St Ouen
17490,Macqueville
17490,Massac
17490,Neuvicq Le Chateau
17490,Gourvillette
17490,Siecq
17490,Bazauges
17490,Beauvais Sur Matha
17490,Bresdon
17500,St Martial De Vitaterne
17500,St Maurice De Tavernole
17500,St Medard
17500,St Simon De Bordes
17500,Vanzac
17500,Villexavier
17500,Mortiers
17500,Meux
17500,Moings
17500,Neulles
17500,Fontaines D Ozillac
17500,Guitinieres
17500,Jonzac
17500,Ozillac
17500,Reaux
17500,St Germain De Lusignan
17500,St Germain De Vibrac
17500,St Hilaire Du Bois
17500,Leoville
17500,Lussac
17500,Agudelle
17500,Allas Champagne
17500,Champagnac
17500,Clam
17510,Villiers Couture
17510,Vinax
17510,Nere
17510,Fontaine Chalendray
17510,Romazieres
17510,Saleignes
17510,Seigne
17510,Les Eduts
17510,Chives
17520,St Maigrin
17520,St Martial Sur Ne
17520,Ste Lheurine
17520,Neuillac
17520,Germignac
17520,Jarnac Champagne
17520,St Ciers Champagne
17520,St Eugene
17520,Lonzac
17520,Archiac
17520,Arthenac
17520,Brie Sous Archiac
17520,Celles
17520,Cierzac
17530,Arvert
17540,St Sauveur D Aunis
17540,Verines
17540,Nuaille D Aunis
17540,Le Gue D Allere
17540,Anais
17540,Angliers
17540,Bouhet
17550,Dolus D Oleron
17560,Bourcefranc Le Chapus
17570,St Augustin
17570,Les Mathes
17580,Le Bois Plage En Re
17590,St Clement Des Baleines
17590,Le Gillieux
17590,Ars En Re
17600,St Romain De Benet
17600,St Sornin
17600,Thezac
17600,Medis
17600,Nancras
17600,Nieulle Sur Seudre
17600,Corme Ecluse
17600,Corme Royal
17600,Pisany
17600,Sablonceaux
17600,Saujon
17600,L Eguille
17600,La Chay
17600,La Clisse
17600,Le Gua
17600,Luchat
17600,Balanzac
17610,St Sauvant
17610,Dompierre Sur Charente
17610,Chaniers
17610,Cherac
17620,St Jean D Angle
17620,Echillais
17620,St Agnant
17620,La Gripperie St Symphorie
17620,La Renaissance
17620,Beaugeay
17620,Champagne
17630,La Flotte
17640,Vaux Sur Mer
17650,St Denis D Oleron
17670,La Couarde Sur Mer
17690,Angoulins
17700,St Mard
17700,St Pierre D Amilly
17700,St Saturnin Du Bois
17700,Surgeres
17700,Vandre
17700,Vouhe
17700,Marsais
17700,Pere
17700,Puyravault
17700,St Georges Du Bois
17700,St Germain De Marencennes
17700,Boisse
17700,Breuil La Reorte
17730,Port Des Barques
17740,Ste Marie De Re
17750,Etaules
17770,Ste Meme
17770,Villars Les Bois
17770,Migron
17770,Nantille
17770,Ebeon
17770,Ecoyeux
17770,Juicq
17770,St Bris Des Bois
17770,St Cesaire
17770,St Hilaire De Villefranch
17770,La Frediere
17770,Le Seure
17770,Aujac
17770,Aumagne
17770,Authon Ebeon
17770,Bercloux
17770,Brizambourg
17770,Burie
17770,Chagnon
17780,St Nazaire Sur Charente
17780,Moeze
17780,Soubise
17780,St Froult
17800,St Leger
17800,St Palais De Phiolin
17800,St Quantin De Rancanne
17800,St Seurin De Palenne
17800,St Sever De Saintonge
17800,Montils
17800,Marignac
17800,Mazerolles
17800,Coulonges
17800,Echebrune
17800,Fleac Sur Seugne
17800,Perignac
17800,Pons
17800,Rouffiac
17800,Salignac Sur Charente
17800,Avy
17800,Belluire
17800,Biron
17800,Bougneau
17800,Brives Sur Charente
17800,Chadenac
17810,Nieul Les Ste
17810,Ecurat
17810,Pessines
17810,St Georges Des Coteaux
17840,La Bree Les Bains
17870,Rochefort
17870,Loire Les Marais
17870,Breuil Magne
17880,Les Portes En Re
17890,Chaillevette
17920,Breuillet
17940,Rivedoux Plage
18000,Bourges
18100,Thenioux
18100,Vierzon
18100,Mery Sur Cher
18100,St Georges Sur La Pree
18100,St Hilaire De Court
18110,St Martin D Auxigny
18110,St Palais
18110,Vasselay
18110,Vignoux Sous Les Aix
18110,Fussy
18110,Pigny
18110,Quantilly
18110,St Eloy De Gy
18110,St Georges Sur Moulon
18110,Allogny
18120,Massay
18120,Mereau
18120,Preuilly
18120,Quincy
18120,Lazenay
18120,Limeux
18120,Lury Sur Arnon
18120,Brinay
18120,Cerbois
18120,Chery
18130,Vornay
18130,Osmery
18130,Contres
18130,Dun Sur Auron
18130,Parnay
18130,Raymond
18130,St Denis De Palin
18130,Jussy Champagne
18130,Lantan
18130,Bussy
18130,Chalivoy Milon
18130,Cogny
18140,St Leger Le Petit
18140,St Martin Des Champs
18140,Couy
18140,Garigny
18140,Groises
18140,Herry
18140,Precy
18140,Sancergues
18140,Sevry
18140,Jussy Le Chaudrier
18140,La Chapelle Montlinard
18140,Lugny Champagne
18140,Argenvieres
18140,Charentonnay
18140,Chaumoux Marcilly
18150,Cuffy
18150,Germigny L Exempt
18150,La Chapelle Hugon
18150,La Guerche Sur L Aubois
18150,Le Chautay
18150,Apremont Sur Allier
18160,Touchay
18160,Villecelin
18160,Montlouis
18160,Ineuil
18160,St Baudel
18160,St Hilaire En Lignieres
18160,La Celle Conde
18160,Lignieres
18160,Chezal Benoit
18170,St Pierre Les Bois
18170,Morlac
18170,Maisonnais
18170,Marcais
18170,Ids St Roch
18170,Rezay
18170,Le Chatelet
18170,Loye Sur Arnon
18170,Ardenais
18190,St Loup Des Chaumes
18190,St Symphorien
18190,Uzay Le Venon
18190,Vallenay
18190,Venesmes
18190,Corquoy
18190,Crezancay Sur Cher
18190,Serruelles
18190,Bigny Vallenay
18190,Chambon
18190,Chateauneuf Sur Cher
18190,Chavannes
18200,Meillant
18200,Nozieres
18200,Orcenais
18200,Orval
18200,Drevant
18200,Farges Allichamps
18200,Fosse Nouvelle
18200,St Amand Montrond
18200,St Georges De Poisieux
18200,La Celle
18200,La Groutte
18200,La Perche
18200,Ainay Le Vieil
18200,Arcomps
18200,Arpheuilles
18200,Bouzais
18200,Bruere Allichamps
18200,Colombiers
18210,St Pierre Les Etieux
18210,Thaumiers
18210,Vernais
18210,Verneuil
18210,Coust
18210,Le Pondy
18210,Bannegon
18210,Bessais Le Fromental
18210,Charenton Du Cher
18220,Ste Solange
18220,Morogues
18220,Parassy
18220,Rians
18220,Soulangis
18220,St Ceols
18220,Les Aix D Angillon
18220,Aubinges
18220,Azy
18220,Brecy
18230,St Doulchard
18240,Ste Gemme En Sancerrois
18240,Sury Pres Lere
18240,Santranges
18240,Savigny En Sancerre
18240,Lere
18240,Belleville Sur Loire
18240,Boulleret
18250,Montigny
18250,Neuilly En Sancerre
18250,Neuvy Deux Clochers
18250,Henrichemont
18250,Humbligny
18250,La Chapelotte
18250,Acheres
18260,Subligny
18260,Sury Es Bois
18260,Thou
18260,Vailly Sur Sauldre
18260,Villegenon
18260,Dampierre En Crot
18260,Jars
18260,Le Noyer
18260,Assigny
18260,Barlieu
18260,Concressault
18270,St Maur
18270,Culan
18270,Reigny
18270,Sidiailles
18270,St Christophe Le Chaudry
18290,Mareuil Sur Arnon
18290,Plou
18290,Poisieux
18290,Saugy
18290,St Ambroix
18290,Charost
18290,Civray
18300,St Satur
18300,Sury En Vaux
18300,Thauvenay
18300,Veaugues
18300,Verdigny
18300,Vinon
18300,Menetou Ratel
18300,Menetreol Sous Sancerre
18300,Couargues
18300,Crezancy En Sancerre
18300,Feux
18300,Gardefort
18300,Jalognes
18300,Sancerre
18300,Sens Beaujeu
18300,St Bouize
18300,Bannay
18300,Bue
18310,St Outrille
18310,Nohant En Gracay
18310,Dampierre En Gracay
18310,Genouilly
18310,Gracay
18320,Torteron
18320,Marseille Les Aubigny
18320,Menetou Couture
18320,Cours Les Barres
18320,Jouet Sur L Aubois
18320,St Hilaire De Gondilly
18320,Beffes
18330,St Laurent
18330,Vouzeron
18330,Nancay
18330,Neuvy Sur Barangeon
18340,St Just
18340,Ste Lunaise
18340,Vorly
18340,Crosses
18340,Plaimpied Givaudins
18340,Sennecay
18340,Soye En Septaine
18340,St Germain Des Bois
18340,Lapan
18340,Levet
18340,Lissay Lochy
18340,Annoix
18340,Arcay
18350,Tendron
18350,Mornay Berry
18350,Nerondes
18350,Cornusse
18350,Croisy
18350,Entrois
18350,Flavigny
18350,Ignol
18350,Ourouer Les Bourdelins
18350,La Grande Vallee
18350,Lugny Bourbonnais
18350,Blet
18350,Charly
18350,Chaumont
18360,St Vitte
18360,Vesdun
18360,Epineuil Le Fleuriel
18360,Faverdines
18360,Saulzais Le Potier
18360,La Celette
18370,St Jeanvrin
18370,St Priest La Marche
18370,St Saturnin
18370,Preveranges
18370,Beddes
18370,Chateaumeillant
18380,Mery Es Bois
18380,Ennordres
18380,Ivoy Le Pre
18380,Presly
18380,La Chapelle D Angillon
18390,St Michel De Volangis
18390,Moulins Sur Yevre
18390,Nohant En Gout
18390,Osmoy
18390,Savigny En Septaine
18390,St Germain Du Puy
18400,Villeneuve Sur Cher
18400,Primelles
18400,St Caprais
18400,St Florent Sur Cher
18400,Lunery
18410,Argent Sur Sauldre
18410,Blancafort
18410,Brinon Sur Sauldre
18410,Clemont
18500,Ste Thorette
18500,Vignoux Sur Barangeon
18500,Marmagne
18500,Mehun Sur Yevre
18500,Foecy
18500,Allouis
18500,Berry Bouy
18510,Menetou Salon
18520,Avord
18520,Bengy Sur Craon
18570,Trouy
18570,Morthomiers
18570,La Chapelle St Ursin
18570,Le Subdray
18600,Vereaux
18600,Mornay Sur Allier
18600,Neuilly En Dun
18600,Neuvy Le Barrois
18600,Givardon
18600,Grossouvre
18600,Sagonne
18600,Sancoins
18600,St Aignan Des Noyers
18600,Augy Sur Aubois
18700,Ste Montaine
18700,Menetreol Sur Sauldre
18700,Oizon
18700,Aubigny Sur Nere
18800,Villabon
18800,Villequiers
18800,Dejointes
18800,Etrechy
18800,Farges En Septaine
18800,Gron
18800,Saligny Le Vif
18800,Laverdines
18800,Baugy
18800,Chassy
19000,Tulle
19000,Les Angles Sur Correze
19100,Brive La Gaillarde
19110,St Julien Pres Bort
19110,Monestier Port Dieu
19110,Sarroux
19110,Bort Les Orgues
19120,Tudeils
19120,Vegennes
19120,Nonards
19120,Puy D Arnac
19120,Queyssac Les Vignes
19120,Sioniac
19120,La Chapelle Aux St
19120,Liourdres
19120,Altillac
19120,Astaillac
19120,Beaulieu Sur Dordogne
19120,Billac
19120,Brivezac
19120,Chenailler Mascheix
19130,St Solve
19130,Vars Sur Roseix
19130,Vignols
19130,Voutezac
19130,Objat
19130,St Aulaire
19130,St Bonnet La Riviere
19130,St Cyprien
19130,St Cyr La Roche
19130,Lascaux
19140,St Ybard
19140,Uzerche
19140,Condat Sur Ganaveix
19140,Espartignac
19140,Eyburie
19150,St Martial De Gimel
19150,St Paul
19150,Marc La Tour
19150,Cornil
19150,Espagnac
19150,Pandrignes
19150,St Bonnet Avalouze
19150,Ladignac Sur Rondelle
19150,Lagarde Enval
19150,Laguenne
19150,Chanac Les Mines
19160,St Pantaleon De Lapleau
19160,Ste Marie Lapanouze
19160,Neuvic
19160,Palisse
19160,Roche Le Peyroux
19160,Serandon
19160,St Etienne La Geneste
19160,St Hilaire Luc
19160,Lamaziere Basse
19160,Latronche
19160,Liginiac
19160,Chirac Bellevue
19170,St Merd Les Oussines
19170,Tarnac
19170,Toy Viam
19170,Viam
19170,Gourdon Murat
19170,Perols Sur Vezere
19170,Pradines
19170,St Hilaire Les Courbes
19170,L Eglise Aux Bois
19170,Lacelle
19170,Lestards
19170,Bonnefond
19170,Bugeat
19190,Menoire
19190,Palazinges
19190,Serilhac
19190,Lanteuil
19190,Le Chastang
19190,Le Pescher
19190,Albignac
19190,Aubazine
19190,Beynat
19200,St Pardoux Le Neuf
19200,St Pardoux Le Vieux
19200,St Victour
19200,Thalamy
19200,Ussel
19200,Valiergues
19200,Veyrieres
19200,Margerides
19200,Mestes
19200,Confolent Port Dieu
19200,St Angel
19200,St Bonnet Pres Bort
19200,St Dezery
19200,St Etienne Aux Clos
19200,St Exupery Les Roches
19200,St Frejoux
19200,La Tourette
19200,Lignareix
19200,Aix
19200,Alleyrat
19200,Chaveroche
19210,St Julien Le Vendomois
19210,St Martin Sepert
19210,St Pardoux Corbier
19210,Montgibaud
19210,St Eloy Les Tuileries
19210,Lubersac
19220,St Julien Aux Bois
19220,St Privat
19220,Darazac
19220,Rilhac Xaintrie
19220,Servieres Le Chateau
19220,St Cirgues La Loutre
19220,St Geniez O Merle
19220,Auriac
19220,Bassignac Le Haut
19230,St Sornin Lavolps
19230,Troche
19230,Segur Le Chateau
19230,Arnac Pompadour
19230,Beyssac
19230,Beyssenac
19240,St Viance
19240,Varetz
19240,Allassac
19250,St Sulpice Les Bois
19250,Maussac
19250,Meymac
19250,Davignac
19250,Ambrugeat
19250,Combressol
19260,Treignac
19260,Veix
19260,Peyrissac
19260,Rilhac Treignac
19260,Affieux
19270,St Pardoux L Ortigier
19270,Ste Fereole
19270,Ussac
19270,Donzenac
19270,Sadroc
19290,St Remy
19290,St Setiers
19290,Millevaches
19290,Peyrelevade
19290,Sornac
19290,St Germain Lavolps
19290,Bellechassagne
19290,Chavanac
19300,St Yrieix Le Dejalat
19300,Montaignac St Hippolyte
19300,Moustier Ventadour
19300,Darnets
19300,Egletons
19300,Grandsaigne
19300,Peret Bel Air
19300,Rosiers D Egletons
19300,Soudeilles
19300,Le Jardin
19300,Chapelle Spinasse
19310,St Robert
19310,Yssandon
19310,Perpezac Le Blanc
19310,Segonzac
19310,Louignac
19310,Ayen
19310,Brignac La Plaine
19320,St Martin La Meanne
19320,St Merd De Lapleau
19320,St Pardoux La Croisille
19320,Marcillac La Croisille
19320,Gros Chastang
19320,Gumond
19320,St Bazile De La Roche
19320,La Roche Canillac
19320,Lafage Sur Sombre
19320,Champagnac La Noaille
19320,Champagnac La Prune
19320,Clergoux
19330,St Mexant
19330,Favars
19330,St Germain Les Vergnes
19330,Chameyrat
19330,Chanteix
19340,Merlines
19340,Monestier Merlines
19340,Couffy Sur Sarsonne
19340,Courteix
19340,Eygurande
19340,Feyt
19340,Lamaziere Haute
19340,Laroche Pres Feyt
19350,Juillac
19350,Rosiers De Juillac
19350,Chabrignac
19350,Conceze
19360,Venarsal
19360,Malemort Sur Correze
19360,Cosnac
19360,Dampniat
19360,La Chapelle Aux Brocs
19370,Soudaine Lavinadiere
19370,Chamberet
19380,St Sylvain
19380,Neuville
19380,Forges
19380,St Bonnet Elvert
19380,St Chamant
19380,Albussac
19390,Orliac De Bar
19390,St Augustin
19390,Beaumont
19390,Chaumeil
19400,St Martial Entraygues
19400,Monceaux Sur Dordogne
19400,Hautefage
19400,St Hilaire Taurieux
19400,Argentat
19410,Vigeois
19410,Orgnac Sur Vezere
19410,Estivaux
19410,Perpezac Le Noir
19410,St Bonnet L Enfantier
19430,St Julien Le Pelerin
19430,St Mathurin Leobazel
19430,Mercoeur
19430,Goulles
19430,Reygade
19430,Sexcles
19430,St Bonnet Les Tours De Me
19430,La Chapelle St Geraud
19430,Bassignac Le Bas
19430,Camps St Mathurin Leobaze
19450,Pierrefitte
19450,Chamboulive
19460,Naves
19470,Madranges
19470,Le Lonzac
19490,Ste Fortunade
19500,St Julien Maumont
19500,Turenne
19500,Marcillac La Croze
19500,Meyssac
19500,Noailhac
19500,Curemonte
19500,Jugeals Nazareth
19500,Saillac
19500,St Bazile De Meyssac
19500,Lagleygeolle
19500,Ligneyrac
19500,Lostanges
19500,Branceilles
19500,Chauffour Sur Vell
19500,Collonges La Rouge
19510,Masseret
19510,Meilhards
19510,Salon La Tour
19510,Lamongerie
19510,Benayes
19520,Mansac
19520,Cublac
19550,Soursac
19550,St Hilaire Foissac
19550,Lapleau
19550,Laval Sur Luzege
19560,St Hilaire Peyroux
19600,St Pantaleon De Larche
19600,Nespouls
19600,Noailles
19600,Estivals
19600,St Cernin De Larche
19600,La Feuillade
19600,Larche
19600,Lissac Sur Couze
19600,Chartrier Ferriere
19600,Chasteaux
19700,St Jal
19700,St Salvadour
19700,Seilhac
19700,St Clement
19700,Lagrauliere
19800,St Priest De Gimel
19800,Vitrac Sur Montane
19800,Meyrignac L Eglise
19800,Correze
19800,Eyrein
19800,Gimel Les Cascades
19800,Sarran
19800,Bar
20000,Ajaccio
20090,Ajaccio
20100,Tivolaggio
20100,Foce
20100,Giuncheto
20100,Granace
20100,Grossa
20100,Sartene
20100,Bilia
20110,Viggianello
20110,Propriano
20110,Arbellara
20110,Belvedere Campomoro
20111,Calcatoggio
20111,Casaglione
20112,Ste Lucie De Tallano
20112,Zoza
20112,Mela
20112,Olmiccia
20112,Altagene
20113,Olmeto
20114,Figari
20115,Piana
20116,Zerubia
20116,Aullene
20117,Tolla
20117,Ocana
20117,Eccica Suarella
20117,Cauro
20118,Sagone
20119,Bastelica
20121,Pastricciola
20121,Rezza
20121,Rosazia
20121,Salice
20121,Azzana
20122,Quenza
20123,Pila Canale
20123,Cognocoli Montichi
20124,Zonza
20125,Orto
20125,Poggiolo
20125,Soccia
20126,Cristinacce
20126,Evisa
20127,Serra Di Scopamene
20128,Urbalacone
20128,Grosseto Prugna
20128,Guarguale
20128,Albitreccia
20130,Cargese
20131,Pianotolli Caldarello
20132,Zicavo
20133,Ucciani
20133,Carbuccia
20134,Tasso
20134,Palneca
20134,Sampolo
20134,Ciamannacce
20135,Conca
20136,Bocognano
20137,Porto Vecchio
20137,Lecci
20138,Coti Chiavari
20139,Lopigna
20140,Moca Croce
20140,Olivese
20140,Petreto Bicchisano
20140,Porto Pollo
20140,Serra Di Ferro
20140,Sollacaro
20140,Argiusta Moriccio
20140,Casalabriva
20141,Marignana
20142,Quasquara
20142,Campo
20143,Fozzano
20143,Santa Maria Figaniella
20144,Ste Lucie De Porto Vecchi
20145,Sari Solenzara
20145,Solenzara
20146,Sotta
20147,Osani
20147,Partinello
20147,Serriera
20148,Cozzano
20150,Ota
20150,Porto
20151,Sant Andrea D Orcino
20151,Sari D Orcino
20151,Ambiegna
20151,Arro
20151,Cannelle
20152,Sorbollano
20153,Guitera Les Bains
20157,Frasseto
20160,Vico
20160,Murzo
20160,Guagno
20160,Guagno Les Bains
20160,Poggiolo
20160,Renno
20160,Letia
20160,Arbori
20160,Balogna
20160,Coggia
20163,Tavera
20164,Cargiaca
20165,Loreto Di Tallano
20166,Pietrosella
20166,Porticcio
20166,Bisinao
20167,Tavaco
20167,Valle Di Mezzana
20167,Villanova
20167,Mezzavia
20167,Cuttoli Corticchiato
20167,Peri
20167,Sarrola Carcopino
20167,Afa
20167,Alata
20167,Appietto
20168,Corrano
20169,Bonifacio
20170,San Gavino Di Carbini
20170,Levie
20170,Carbini
20171,Monacia D Aullene
20172,Vero
20173,Zevaco
20190,Zigliara
20190,Forciolo
20190,Santa Maria Siche
20190,Azilone Ampaza
20190,Cardo Torgia
20000,Ajaccio
20090,Ajaccio
20100,Tivolaggio
20100,Foce
20100,Giuncheto
20100,Granace
20100,Grossa
20100,Sartene
20100,Bilia
20110,Viggianello
20110,Propriano
20110,Arbellara
20110,Belvedere Campomoro
20111,Calcatoggio
20111,Casaglione
20112,Ste Lucie De Tallano
20112,Zoza
20112,Mela
20112,Olmiccia
20112,Altagene
20113,Olmeto
20114,Figari
20115,Piana
20116,Zerubia
20116,Aullene
20117,Tolla
20117,Ocana
20117,Eccica Suarella
20117,Cauro
20118,Sagone
20119,Bastelica
20121,Pastricciola
20121,Rezza
20121,Rosazia
20121,Salice
20121,Azzana
20122,Quenza
20123,Pila Canale
20123,Cognocoli Montichi
20124,Zonza
20125,Orto
20125,Poggiolo
20125,Soccia
20126,Cristinacce
20126,Evisa
20127,Serra Di Scopamene
20128,Urbalacone
20128,Grosseto Prugna
20128,Guarguale
20128,Albitreccia
20130,Cargese
20131,Pianotolli Caldarello
20132,Zicavo
20133,Ucciani
20133,Carbuccia
20134,Tasso
20134,Palneca
20134,Sampolo
20134,Ciamannacce
20135,Conca
20136,Bocognano
20137,Porto Vecchio
20137,Lecci
20138,Coti Chiavari
20139,Lopigna
20140,Moca Croce
20140,Olivese
20140,Petreto Bicchisano
20140,Porto Pollo
20140,Serra Di Ferro
20140,Sollacaro
20140,Argiusta Moriccio
20140,Casalabriva
20141,Marignana
20142,Quasquara
20142,Campo
20143,Fozzano
20143,Santa Maria Figaniella
20144,Ste Lucie De Porto Vecchi
20145,Sari Solenzara
20145,Solenzara
20146,Sotta
20147,Osani
20147,Partinello
20147,Serriera
20148,Cozzano
20150,Ota
20150,Porto
20151,Sant Andrea D Orcino
20151,Sari D Orcino
20151,Ambiegna
20151,Arro
20151,Cannelle
20152,Sorbollano
20153,Guitera Les Bains
20157,Frasseto
20160,Vico
20160,Murzo
20160,Guagno
20160,Guagno Les Bains
20160,Poggiolo
20160,Renno
20160,Letia
20160,Arbori
20160,Balogna
20160,Coggia
20163,Tavera
20164,Cargiaca
20165,Loreto Di Tallano
20166,Pietrosella
20166,Porticcio
20166,Bisinao
20167,Tavaco
20167,Valle Di Mezzana
20167,Villanova
20167,Mezzavia
20167,Cuttoli Corticchiato
20167,Peri
20167,Sarrola Carcopino
20167,Afa
20167,Alata
20167,Appietto
20168,Corrano
20169,Bonifacio
20170,San Gavino Di Carbini
20170,Levie
20170,Carbini
20171,Monacia D Aullene
20172,Vero
20173,Zevaco
20190,Zigliara
20190,Forciolo
20190,Santa Maria Siche
20190,Azilone Ampaza
20190,Cardo Torgia
21000,Dijon
21110,Tart L Abbaye
21110,Tart Le Bas
21110,Tart Le Haut
21110,Thorey En Plaine
21110,Varanges
21110,Magny Sur Tille
21110,Marliens
21110,Echigey
21110,Fauverney
21110,Genlis
21110,Izeure
21110,Izier
21110,Pluvault
21110,Pluvet
21110,Premieres
21110,Rouvres En Plaine
21110,Soirans
21110,Labergement Foigney
21110,Longchamp
21110,Longeault
21110,Longecourt En Plaine
21110,Aiserey
21110,Beire Le Fort
21110,Bessey Les Citeaux
21110,Bretenieres
21110,Cessey Sur Tille
21110,Chambeire
21110,Collonges Les Premieres
21120,Tarsul
21120,Til Chatel
21120,Vernot
21120,Villecomte
21120,Villey Sur Tille
21120,Marcilly Sur Tille
21120,Marey Sur Tille
21120,Moloy
21120,Courtivron
21120,Crecey Sur Tille
21120,Dienay
21120,Echevannes
21120,Frenois
21120,Gemeaux
21120,Is Sur Tille
21120,Pichanges
21120,Poiseul Les Saulx
21120,Saulx Le Duc
21120,Spoy
21120,Lux
21120,Avelanges
21120,Chaignay
21121,Val Suzon
21121,Daix
21121,Darois
21121,Etaules
21121,Fontaines Les Dijon
21121,Hauteville Les Dijon
21121,Ahuy
21130,St Seine En Bache
21130,Tillenay
21130,Treclun
21130,Villers Les Pots
21130,Villers Rotin
21130,Magny Montarlot
21130,Flagey Les Auxonne
21130,Flammerans
21130,Poncey Les Athee
21130,Pont
21130,Labergement Les Auxonne
21130,Les Maillys
21130,Athee
21130,Auxonne
21130,Billey
21130,Champdotre
21140,Vic De Chassenay
21140,Villars Et Villenotte
21140,Villeneuve Sous Charigny
21140,Montigny Sur Armancon
21140,Magny La Ville
21140,Massingy Les Semur
21140,Millery
21140,Courcelles Les Semur
21140,Flee
21140,Genay
21140,Juilly
21140,Pont Et Massene
21140,Semur En Auxois
21140,Souhey
21140,St Euphrone
21140,Lantilly
21140,Charigny
21150,Thenissey
21150,Venarey Les Laumes
21150,Mussy La Fosse
21150,Marigny Le Cahouet
21150,Menetreux Le Pitois
21150,Corpoyer La Chapelle
21150,Darcey
21150,Flavigny Sur Ozerain
21150,Frolois
21150,Gissey Sous Flavigny
21150,Gresigny Ste Reine
21150,Grignon
21150,Hauteroche
21150,Jailly Les Moulins
21150,Pouillenay
21150,Seigny
21150,La Roche Vanneau
21150,Les Laumes
21150,Lucenay Le Duc
21150,Alise Ste Reine
21150,Bussy Le Grand
21150,Chassey
21160,Marsannay La Cote
21160,Corcelles Les Monts
21160,Couchey
21160,Flavignerot
21160,Perrigny Les Dijon
21170,St Jean De Losne
21170,St Symphorien Sur Saone
21170,St Usage
21170,Trouhans
21170,Montot
21170,Magny Les Aubigny
21170,Echenon
21170,Esbarres
21170,Franxault
21170,Samerey
21170,Laperriere Sur Saone
21170,Losne
21170,Aubigny En Plaine
21170,Charrey Sur Saone
21190,St Romain
21190,Tailly
21190,Volnay
21190,Monthelie
21190,Mavilly Mandelot
21190,Meloisey
21190,Merceuil
21190,Meursault
21190,Nantoux
21190,Corcelles Les Arts
21190,Corpeau
21190,Ebaty
21190,Puligny Montrachet
21190,St Aubin
21190,Auxey Duresses
21190,Chassagne Montrachet
21200,Ste Marie La Blanche
21200,Vignoles
21200,Montagny Les Beaune
21200,Marigny Les Reullee
21200,Meursanges
21200,Ruffey Les Beaune
21200,Levernois
21200,Beaune
21200,Bligny Les Beaune
21200,Bouze Les Beaune
21200,Chevigny En Valiere
21200,Chorey
21200,Combertault
21210,St Martin De La Mer
21210,Thoisy La Berchere
21210,Villargoix
21210,Montlay En Auxois
21210,Missery
21210,Molphey
21210,Juillenay
21210,Saulieu
21210,St Didier
21210,La Motte Ternant
21210,Lacour D Arcenay
21210,Champeau En Morvan
21220,St Philibert
21220,Ternant
21220,Urcy
21220,Morey St Denis
21220,Messanges
21220,Curley
21220,Curtil Vergy
21220,Detain Et Bruant
21220,Epernay Sous Gevrey
21220,Fixin
21220,Gevrey Chambertin
21220,Quemigny Poisot
21220,Reulle Vergy
21220,Segrois
21220,Semezanges
21220,L Etang Vergy
21220,Bevy
21220,Brochon
21220,Broindon
21220,Chamboeuf
21220,Chambolle Musigny
21220,Chevannes
21220,Clemencey
21220,Collonges Les Bevy
21230,St Pierre En Vaux
21230,St Prix Les Arnay
21230,Vievy
21230,Voudenay
21230,Musigny
21230,Magnien
21230,Maligny
21230,Mimeure
21230,Culetre
21230,Cussy Le Chatel
21230,Foissy
21230,Jouey
21230,Lacanche
21230,Le Fete
21230,Longecourt Les Culetre
21230,Allerey
21230,Antigny La Ville
21230,Arnay Le Duc
21230,Champignolles
21230,Clomot
21240,Talant
21250,Tichey
21250,Trugny
21250,Villy Le Moutier
21250,Montagny Les Seurre
21250,Montmain
21250,Corberon
21250,Corgengoux
21250,Glanon
21250,Grosbois Les Tichey
21250,Jallanges
21250,Pagny La Ville
21250,Pagny Le Chateau
21250,Pouilly Sur Saone
21250,Seurre
21250,Labruyere
21250,Lanthes
21250,Lechatelet
21250,Auvillars Sur Saone
21250,Bonnencontre
21250,Bousselange
21250,Broin
21250,Chamblanc
21260,Vernois Les Vesvres
21260,Veronnes
21260,Veronnes Les Petites
21260,Orville
21260,Foncegrive
21260,Sacquenay
21260,Selongey
